,Neighborhood,Price_2010,Price_2011,Price_2012,Price_2013,Price_2014,Price_2015,Price_2016,Price_2017,Price_2018
0,Brooklyn,462075,474550,483225,518583,573316,630075,670666,727475,779033
1,Bay Ridge,564950,573550,599066,637275,688900,748016,805083,855983,908466
2,Bedford Stuyvesant,375200,377658,405658,476991,517683,576341,688900,747583,810791
3,Bensonhurst,506158,522075,521091,563216,626241,689641,716525,760125,796608
4,Boerum Hill,722233,752291,778783,903008,1045125,1164508,1315266,1329866,1324683
5,Borough Park,524041,510041,529583,578558,614500,678933,714583,771925,855383
6,Brooklyn Heights,1175716,1192516,1384850,1474666,1683700,1891116,2044441,2059366,1871750
7,Brownsville,290508,284166,262875,283475,291183,301083,322433,379683,434166
8,Bushwick,330416,326083,349725,392425,459883,573375,646916,737175,773125
9,Canarsie,355583,336566,338966,363691,359983,369841,384983,422041,461975
10,Carroll Gardens,735291,772458,796866,924600,1111466,1209566,1369558,1385908,1361416
11,Clinton Hill,528308,546441,570708,638150,753358,847183,904450,1000066,1000816
12,Cobble Hill,742350,811658,857825,945066,1124750,1266766,1412625,1418916,1372591
13,Columbia Street Waterfront District,519391,546525,560741,620033,688141,831908,870250,862850,895941
14,Crown Heights,457391,477000,512366,613775,650908,804441,937008,996575,989366
15,DUMBO,876991,932033,960958,1095816,1262633,1459575,1538950,1563783,1595233
16,Downtown,598633,610675,639708,722008,826275,916541,985633,1017891,1022850
17,Dyker Heights,581550,585750,606033,645108,708450,787350,839066,874216,905291
18,East Flatbush,339175,336083,335641,355583,362391,391041,428408,462216,510475
19,East New York,294541,277341,267208,288916,304108,317158,336050,390891,419200
20,Flatbush,546450,555125,561358,593691,665458,764283,825091,876733,999858
21,Flatlands,367958,373066,353633,373525,398350,439016,456258,475041,514966
22,Fort Greene,598533,596000,621858,703283,808108,913708,1014366,1066158,1091841
23,Fort Hamilton,549175,552008,573025,587483,661883,707725,765841,831158,855875
24,Georgetown,402050,397166,382808,408491,432000,465700,481816,513341,532758
25,Gowanus,618850,654525,669983,752483,880925,960183,1029725,1064066,1158016
26,Greenpoint,507100,526650,579558,693875,790650,958475,1006658,1027100,1029350
27,Greenwood,472441,490608,497341,537575,631283,718625,798666,894625,881491
28,Homecrest,502925,507708,502025,528458,575391,610675,669691,757708,805241
29,Kensington,536525,530458,528383,582158,653008,741766,823041,877466,960641
30,Ocean Parkway,602400,612216,608725,660966,754641,817383,899775,960033,1023775
31,Park Slope,721491,767483,782641,882641,991108,1124408,1299916,1342991,1326291
32,Prospect Heights,592941,620316,619550,693150,827683,889991,1020650,1126933,1098991
33,Sunset Park,342633,334791,323541,344450,361733,397791,446441,476450,540675
34,Williamsburg,479725,513566,546750,645566,768250,837816,828600,859400,892133
35,Windsor Terrace,581583,635608,677150,722625,780283,1010950,1043008,1156233,1236833
36,Wingate,0,0,0,211708,382533,430050,458275,594975,630741
