,Neighborhood,Price_2010,Price_2011,Price_2012,Price_2013,Price_2014,Price_2015,Price_2016,Price_2017,Price_2018
0,Manhattan,881350,903941,945141,1017383,1162408,1241816,1301500,1320441,1295650
1,Carnegie Hill,0,812350,1624600,1614433,1700725,1916666,1846008,1895391,1808933
2,Central Park,723425,698991,734075,798325,884558,962416,1034216,1014341,955116
3,Chelsea,1217641,1231716,1331833,1467108,1689658,1767791,1864825,1830991,1768833
4,East Harlem,537908,537175,550083,611658,658633,698408,769808,817058,830283
5,East Village,889858,888383,958691,1015775,1124083,1252533,1347658,1407841,1367191
6,Financial District,806575,776083,821683,869433,944441,1039566,1099625,1062800,1060125
7,Flatiron District,1404025,1456316,1571925,1787666,1933225,2026050,2259191,2087541,2016833
8,Gramercy,765075,778225,814825,862525,926683,947916,1000525,987825,1009233
9,Greenwich Village,942066,972633,1088775,1198633,1290541,1397766,1468950,1475908,1504266
10,Little Italy,1251900,1306975,1390975,1465083,1696016,1806141,1935200,1826666,1942758
11,Lower East Side,636716,663441,718116,736125,808075,845450,902741,987275,1001108
12,Morningside Heights,0,0,0,623450,752666,818608,847866,903166,898183
13,Murray Hill,702125,689933,714741,796125,874175,900300,957700,951991,945425
14,Roosevelt Island,649358,659908,632283,707625,780750,829491,908941,1043900,1008458
15,SoHo,1982666,2032066,2201891,2628158,2842958,2976166,3163900,3316825,3086083
16,Sutton Place,865825,827950,862250,918675,1039091,1134816,1209816,1228716,1144866
17,Tribeca,1911425,2072300,2251025,2592625,2846600,3024866,3193350,3157783,2998450
18,Tudor City,758583,777958,818175,864225,948141,1003983,1109700,1097500,1056050
19,Turtle Bay,804083,783425,815891,879625,941058,984325,1051416,1036208,1085458
20,Upper East Side,937291,983491,1004258,1054708,1248091,1285308,1338266,1373041,1349150
21,Washington Heights,0,0,0,0,532141,553633,587391,631166,639983
22,West Village,1341050,1431216,1579075,1797875,1994816,2051741,2302708,2186191,1970908
