Region Name,Region Type,Data Type,Oct 09,Nov 09,Dec 09,Jan 10,Feb 10,Mar 10,Apr 10,May 10,Jun 10,Jul 10,Aug 10,Sep 10,Oct 10,Nov 10,Dec 10,Jan 11,Feb 11,Mar 11,Apr 11,May 11,Jun 11,Jul 11,Aug 11,Sep 11,Oct 11,Nov 11,Dec 11,Jan 12,Feb 12,Mar 12,Apr 12,May 12,Jun 12,Jul 12,Aug 12,Sep 12,Oct 12,Nov 12,Dec 12,Jan 13,Feb 13,Mar 13,Apr 13,May 13,Jun 13,Jul 13,Aug 13,Sep 13,Oct 13,Nov 13,Dec 13,Jan 14,Feb 14,Mar 14,Apr 14,May 14,Jun 14,Jul 14,Aug 14,Sep 14,Oct 14,Nov 14,Dec 14,Jan 15,Feb 15,Mar 15,Apr 15,May 15,Jun 15,Jul 15,Aug 15,Sep 15,Oct 15,Nov 15,Dec 15,Jan 16,Feb 16,Mar 16,Apr 16,May 16,Jun 16,Jul 16,Aug 16,Sep 16,Oct 16,Nov 16,Dec 16,Jan 17,Feb 17,Mar 17,Apr 17,May 17,Jun 17,Jul 17,Aug 17,Sep 17,Oct 17,Nov 17,Dec 17,Jan 18,Feb 18,Mar 18,Apr 18,May 18,Jun 18,Jul 18,Aug 18,Sep 18,Oct 18,Nov 18,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19,Jul 19,Aug 19,Sep 19
Brooklyn,borough,All Homes,468800,471200,474100,476500,478500,473100,461800,455800,459300,461400,459300,455000,453800,454900,455500,454700,457700,465400,473100,476900,478400,479900,481300,482200,482100,481700,481200,480800,480200,480200,480900,480800,479300,479400,481200,483700,487000,491000,494200,496800,497500,498400,502600,509900,516300,522000,527600,533100,536600,538900,543300,549300,553800,557600,561500,564500,567200,571400,577400,585200,591900,597700,602300,605500,607100,609300,614100,622100,630600,637600,641900,644700,647600,649600,650800,653600,658700,663400,665600,665200,665000,666600,671200,676800,681800,687300,692800,697500,702500,709100,715300,720600,724900,729900,736400,743400,747700,749500,752900,760100,767700,773400,777400,780500,782500,783200,783100,784300,786300,786300,783600,782300,785600,788200,789500,789600,788000,784800,781200,776800
Bay Ridge,neighborhood,All Homes,567600,573200,578400,582900,585700,581000,570800,567900,575900,579900,572000,556000,542200,533800,531300,533700,542700,554400,565900,576800,581700,579600,580100,587100,592800,594000,593800,594000,593500,593600,596600,596900,595100,595700,596100,596200,601800,611900,617400,616800,613300,613500,619300,628000,633500,636600,642300,652300,660800,663500,667400,674800,682500,685600,679900,671400,670200,680300,694900,703100,703300,706800,714000,718000,717500,718800,729100,741600,749500,754900,759900,765700,771900,774500,774800,780300,790200,798900,804700,807700,809500,809500,808600,807600,808600,814800,820600,821100,819300,823500,827700,834100,845500,862000,874500,882700,890400,894700,896300,900200,905700,905000,902000,900500,899100,897800,902300,912300,921200,927200,928300,928500,933700,941700,947600,949600,949400,948200,948600,949300
Bedford Stuyvesant,neighborhood,All Homes,400100,399800,400900,402300,404100,396800,382800,372700,371600,371000,368900,363500,358800,355500,354400,354600,358300,368000,377800,380800,378800,378500,380900,385200,388500,390100,390400,390100,388400,388000,390900,395500,399200,402500,405800,411600,420600,434100,441200,439200,438700,446300,456900,466400,474700,483400,492900,501200,507400,508700,508100,509800,511900,511100,508900,507800,508800,512200,516700,522500,527300,533400,541800,554300,557400,553100,553100,564300,574800,582800,587700,591000,593100,596300,608200,627300,650000,666800,677800,683100,688900,694800,705100,714500,717700,718200,722600,729800,736900,743200,744900,744000,744200,744700,744900,748500,755200,763800,770900,777300,784200,791000,795300,801200,809600,818000,825600,831900,837600,834600,823200,810900,804800,802300,806600,811800,814000,814100,811600,806700
Bensonhurst,neighborhood,All Homes,488200,490200,492700,495300,496400,496600,496400,499300,508400,516300,515500,509800,509200,513600,517100,517400,520700,525700,528600,527300,524700,521600,521000,521300,520700,518700,517200,516700,516500,514800,511300,510200,512400,516200,519800,524600,531000,537300,542300,544400,544400,547400,555200,561800,565000,567800,571000,572600,574300,576300,578400,584000,592900,600800,607300,614100,620200,626800,635700,647900,656900,662000,666300,671200,671600,671400,674400,681500,688200,693400,698800,703700,704600,706000,710900,715600,717900,719700,718900,712400,706500,707900,713900,716900,718500,721800,728300,735000,740800,744700,747700,751800,756500,761800,768000,775100,779300,781200,779600,780800,785300,789900,793300,799000,803300,801300,796700,796500,802800,806100,804300,803700,809100,815000,819900,822100,819700,814800,811300,808700
Boerum Hill,neighborhood,All Homes,716600,720000,725500,731900,736700,732200,719700,713700,721100,726600,722800,714600,713500,716500,717500,713100,718500,736300,752700,757600,759800,764100,768300,769000,765700,762000,760400,761700,759600,752100,747100,750400,760900,773500,784800,796900,809200,819800,829400,834900,838500,846900,861500,878200,893500,908900,925400,941100,955400,969600,982200,993000,1002300,1011800,1028200,1046900,1054000,1050500,1055400,1069900,1077400,1075100,1077000,1090000,1101900,1112400,1121500,1127300,1135100,1157700,1180400,1202400,1228100,1251400,1265900,1286700,1303900,1307600,1303400,1304600,1309600,1319000,1329600,1329300,1321700,1326600,1341200,1348700,1348000,1347900,1348000,1342900,1329500,1318700,1317100,1316700,1314000,1314700,1312200,1312500,1326500,1343100,1348700,1351400,1345600,1331000,1317800,1313000,1311800,1303500,1291300,1285300,1290400,1296900,1302200,1301200,1301400,1294900,1282100,1273500
Borough Park,neighborhood,All Homes,526500,528700,533300,537900,539600,532800,522200,518100,524700,529700,526800,520000,516100,512900,507700,502000,502000,509500,517200,517600,513000,507700,506500,509600,512600,512200,510600,509500,509000,510300,514300,518700,522300,529000,536500,542300,547000,554100,562000,566700,566200,567400,574900,582800,584700,583900,582000,579000,580300,584700,590100,598400,606300,607500,606400,606500,605900,606500,612000,622300,629700,634700,637800,641800,647200,652300,654700,662200,675000,687100,696200,703600,708000,709100,710000,711100,712400,714100,711700,706600,708200,717600,723800,720600,714900,715800,718200,719800,724700,734600,749000,762800,769400,770700,779500,794700,808000,816900,833000,848800,854300,851100,843500,834500,831500,837800,850000,865400,877700,884700,885300,886300,895000,905600,911800,916400,915600,901200,877500,859600
Brooklyn Heights,neighborhood,All Homes,1287500,1301900,1319200,1311500,1312300,1297100,1236400,1160100,1125100,1115200,1108900,1099300,1101500,1117300,1123900,1127700,1129300,1139600,1149900,1162300,1183500,1208400,1218700,1228600,1240200,1253100,1268900,1294900,1316800,1336500,1360800,1381400,1384800,1391300,1409400,1426700,1439900,1440800,1434900,1432000,1428800,1426500,1438200,1457000,1473800,1490000,1498700,1506800,1513700,1510400,1520100,1545200,1554600,1548800,1572800,1628400,1682300,1716600,1749300,1778200,1795600,1810700,1821900,1826600,1831600,1841000,1849400,1859400,1873000,1893500,1916900,1934600,1946800,1957000,1963600,1964800,1971100,1988600,2016800,2050600,2083000,2095000,2087200,2072200,2064100,2066600,2073300,2071000,2089500,2121200,2131100,2108000,2077700,2050400,2037100,2033200,2018500,1995000,1979700,1985200,1987100,1967500,1926200,1891100,1860100,1827800,1808300,1804600,1802000,1802500,1798600,1788500,1778900,1791100,1819800,1832600,1800100,1759700,1733500,1718200
Brownsville,neighborhood,All Homes,289300,286300,286500,287800,287400,286700,287700,288900,290600,292600,294100,294500,293100,291400,291300,292500,293600,294200,293800,292000,289900,287900,285300,280500,274000,267000,259300,251100,246900,246500,247300,250800,257200,263700,268500,273200,278400,283900,287000,288800,290200,289600,287200,284600,281400,278500,278200,279400,280800,281000,282000,284300,286100,286100,285900,285900,287200,289600,292100,294600,297200,301200,304000,304000,301800,300700,300400,300500,299800,299400,299500,300200,301300,302400,303000,304000,306800,311100,315700,318900,321900,324000,326500,329500,332900,336100,341800,350300,358500,365600,370500,373200,374300,378500,384800,391000,396700,402800,410000,416300,419100,419700,423000,426300,429100,433300,439200,445200,451700,454500,452600,451000,454200,456000,453900,453600,452900,448600,443900,441800
Bushwick,neighborhood,All Homes,345400,348000,348900,349300,353200,347500,331400,321700,323400,325000,325500,323700,322700,321500,320100,318700,318600,320700,324700,327600,327100,327100,329000,331200,330700,328900,328700,331800,334600,338400,345400,351300,354000,355500,353500,350800,354600,361800,365000,365300,366500,371200,377200,381600,386200,396300,404900,409400,413300,417000,420200,422200,426700,432300,434400,437300,445600,451300,462900,485400,498500,504000,518000,536900,539100,536700,545800,565700,582700,589200,587500,589900,596600,602100,608300,611500,619300,635500,650700,647400,638500,641700,652800,657000,660900,667800,679900,696700,704400,701700,704700,718900,732700,742200,752400,761600,769900,779900,781000,776400,781300,788900,788600,788400,782300,771400,763900,762600,762800,760000,750900,748200,757800,766200,765600,760100,756800,763800,773300,772900
Canarsie,neighborhood,All Homes,343700,345600,348000,350300,351300,352300,353300,355500,359600,361500,359600,357400,356900,355600,353700,351100,350800,350300,346500,340700,336600,334400,331900,328500,324800,322400,320800,319500,318800,320300,326100,334100,339300,342800,346800,350300,353400,357000,359200,360400,361300,362500,363900,363500,361600,362500,364900,365000,364500,365800,368400,369900,369300,367300,364000,360300,357800,354400,351300,352100,355500,358200,359700,360100,359700,360200,361900,364800,368100,372200,376300,378900,379500,378900,377500,376400,376500,376700,376700,378200,381400,385600,390000,393200,394300,394100,396700,402900,409800,415400,419300,421700,423000,424600,427100,429600,428900,429200,433000,439700,446100,452000,455200,458200,460600,460300,459300,465300,477100,484600,485300,487000,490800,489500,488200,488900,491300,493300,496900,497800
