Region Name,Region Type,Data Type,Oct 09,Nov 09,Dec 09,Jan 10,Feb 10,Mar 10,Apr 10,May 10,Jun 10,Jul 10,Aug 10,Sep 10,Oct 10,Nov 10,Dec 10,Jan 11,Feb 11,Mar 11,Apr 11,May 11,Jun 11,Jul 11,Aug 11,Sep 11,Oct 11,Nov 11,Dec 11,Jan 12,Feb 12,Mar 12,Apr 12,May 12,Jun 12,Jul 12,Aug 12,Sep 12,Oct 12,Nov 12,Dec 12,Jan 13,Feb 13,Mar 13,Apr 13,May 13,Jun 13,Jul 13,Aug 13,Sep 13,Oct 13,Nov 13,Dec 13,Jan 14,Feb 14,Mar 14,Apr 14,May 14,Jun 14,Jul 14,Aug 14,Sep 14,Oct 14,Nov 14,Dec 14,Jan 15,Feb 15,Mar 15,Apr 15,May 15,Jun 15,Jul 15,Aug 15,Sep 15,Oct 15,Nov 15,Dec 15,Jan 16,Feb 16,Mar 16,Apr 16,May 16,Jun 16,Jul 16,Aug 16,Sep 16,Oct 16,Nov 16,Dec 16,Jan 17,Feb 17,Mar 17,Apr 17,May 17,Jun 17,Jul 17,Aug 17,Sep 17,Oct 17,Nov 17,Dec 17,Jan 18,Feb 18,Mar 18,Apr 18,May 18,Jun 18,Jul 18,Aug 18,Sep 18,Oct 18,Nov 18,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19,Jul 19,Aug 19,Sep 19
Manhattan,borough,All Homes,869600,864700,863200,863400,864300,865200,867400,871500,877300,884400,891600,897800,899800,897900,895600,895000,896600,900600,902500,900600,899900,903300,906100,906800,908600,912200,915100,918100,921300,925600,931700,939200,946600,951000,953400,957200,961900,965700,970000,974500,979600,985800,990800,994300,999300,1009100,1023800,1039600,1055200,1070500,1086100,1098500,1108500,1117500,1132200,1150700,1166600,1176000,1184500,1193800,1202100,1207900,1210600,1212900,1214400,1216300,1219300,1223400,1228700,1240100,1253300,1262500,1268200,1276100,1286600,1297600,1303900,1305800,1303100,1299200,1296500,1297800,1299800,1301100,1301400,1303700,1308100,1315000,1321300,1323500,1320400,1320200,1325800,1330600,1328000,1324400,1321200,1313200,1301700,1297500,1301600,1304200,1312600,1321500,1316900,1302700,1294800,1287400,1278800,1270900,1258900,1245100,1240000,1237800,1226400,1214800,1209500,1203700,1195800,1190800
Carnegie Hill,neighborhood,All Homes,,,,,,,,,,,,,,,,,,,,,,1612200,1624300,1629200,1637600,1629600,1615300,1608600,1609600,1591500,1581000,1591300,1617100,1642200,1650600,1640200,1633300,1649000,1680800,1703000,1713400,1727000,1724700,1672800,1576400,1512800,1482800,1512400,1570200,1601200,1576500,1581500,1591500,1598400,1615500,1655300,1694800,1722400,1747800,1762800,1776600,1809300,1852800,1879300,1894000,1888500,1881200,1901400,1931000,1951200,1973200,1996000,1973300,1901100,1829800,1795900,1806800,1835500,1846400,1837100,1842400,1853400,1858300,1855400,1859300,1873600,1888000,1901300,1906400,1929500,1943100,1919200,1904100,1908900,1886100,1841600,1835300,1863100,1906100,1916400,1900100,1857900,1813900,1791000,1783100,1776900,1784900,1795800,1782000,1758000,1747200,1738900,1720200,1712600,1733000,1776100,1806000,1800800,1791600,1796500
Central Park,neighborhood,All Homes,668100,673500,677300,683100,685700,686400,700100,724100,738700,744800,749000,748700,744900,740900,734700,727600,724900,723800,717100,708900,708800,703400,683400,668000,668900,673100,680000,692400,703400,714900,727800,737400,741200,742100,742900,746200,748600,753100,758900,763700,767900,772400,772900,774000,778200,788700,803900,821900,837200,847200,851900,855300,860100,867800,877000,881900,882000,884800,893500,897800,897000,903300,914200,919000,921000,924500,934600,944100,950000,955900,975200,993200,1002900,1008200,1020400,1023000,1024100,1034900,1043300,1045300,1050400,1063000,1060800,1037600,1013800,1008100,1006300,1003300,999800,998500,997200,997300,1002900,1015200,1031000,1049400,1050400,1026900,1000200,985900,973100,963300,975800,988400,969200,938600,925500,929100,937400,941300,933800,938300,958200,944100,890600,864600,888200,911900,913600,908200
Chelsea,neighborhood,All Homes,1189100,1184200,1181900,1186900,1191200,1194800,1200200,1210200,1217600,1225000,1229400,1235500,1239600,1240900,1240400,1236200,1229700,1224900,1220900,1216600,1213800,1214000,1218100,1225500,1241500,1261900,1277500,1287300,1298000,1306700,1315300,1322600,1330600,1339800,1349400,1354600,1355100,1356800,1365800,1381300,1396300,1412900,1429100,1442200,1459900,1480100,1493000,1502000,1517500,1535000,1556000,1576500,1594600,1613200,1640600,1671300,1696700,1715800,1735100,1751500,1759300,1761200,1760100,1754800,1751200,1751700,1753100,1753200,1753400,1757300,1768200,1781000,1790400,1796900,1802300,1820300,1847300,1868400,1874700,1878000,1879700,1882600,1882200,1875800,1863300,1855900,1849700,1841200,1832800,1825100,1814800,1813300,1824500,1836500,1839300,1838600,1839500,1836900,1829400,1822400,1817400,1807600,1805100,1800600,1778300,1748900,1737200,1737100,1734400,1724700,1712300,1699300,1691700,1684300,1666000,1651300,1652800,1654900,1648200,1640800
East Harlem,neighborhood,All Homes,534300,533400,532600,532200,534300,533600,530400,531000,536200,539600,541200,543100,544700,544200,544400,545200,544200,547300,550900,547500,539500,535200,531800,528000,525500,525400,525600,526100,527900,530100,533000,537300,545100,554400,561200,565800,570500,574000,575600,579200,584600,589700,593700,600200,607800,614600,622200,629700,635700,638800,643700,647000,647000,646500,650900,655500,659400,662700,664100,665000,666000,668300,671200,674700,676400,677200,681000,689500,696700,698600,700800,706700,715200,726100,738000,747300,755700,765100,768300,763700,760500,764700,775000,781700,783500,784100,788100,792300,796500,798600,800700,809400,820200,828900,833400,835700,834900,830700,823400,820700,824500,829300,832600,833100,829800,827400,829500,834800,837500,835800,828400,822100,821300,821300,817800,811300,801400,786400,770300,758400
East Village,neighborhood,All Homes,906600,899500,895300,890200,887100,888600,892300,894400,894100,891200,889500,889900,888300,886500,886200,885100,884100,882600,880700,876100,874300,876200,881800,890300,900900,910100,918400,928100,934500,939900,945500,952700,957900,965500,974800,977500,974800,975800,977300,977100,978300,983200,990200,1002400,1020900,1031400,1030500,1030600,1036700,1046400,1061600,1073500,1080300,1091200,1106800,1115900,1112800,1113300,1123700,1141600,1161600,1179700,1188600,1193200,1200300,1213000,1228900,1239900,1252700,1269100,1280000,1279700,1283600,1291200,1298800,1305800,1311000,1309200,1306800,1305900,1309500,1334900,1365700,1391900,1410000,1413100,1408100,1421000,1433400,1425200,1409900,1411700,1423100,1423100,1416200,1409800,1393400,1372400,1354900,1352600,1367100,1376600,1380900,1386400,1381000,1363500,1361200,1364300,1362700,1359200,1350800,1336200,1332000,1330700,1312500,1295000,1294000,1285600,1263200,1247400
Financial District,neighborhood,All Homes,797100,798600,806100,813500,815800,812500,808900,806700,806300,804700,806000,809600,806800,798700,789400,780900,773600,768000,762200,754000,759800,778100,788800,784600,784100,787700,791200,791900,794900,801400,807200,810300,816400,823800,829500,836500,845600,850200,852500,855100,856400,858100,862500,869000,871400,870300,870700,873700,877400,881900,886700,888400,893200,903800,917000,931200,945100,954300,959500,968700,981200,992300,998600,1004200,1005500,1004300,1005600,1015700,1030900,1049200,1065400,1072000,1069600,1072900,1079500,1092100,1106100,1120300,1128300,1126400,1105000,1087500,1082900,1082900,1081000,1087300,1095700,1094600,1086200,1076900,1068200,1059900,1054800,1053300,1053200,1059700,1063200,1049600,1034000,1037700,1051800,1058000,1067700,1083300,1090200,1079700,1069100,1057700,1048400,1042800,1035100,1027000,1027000,1023800,1008400,990600,973100,956800,946000,939500
Flatiron District,neighborhood,All Homes,1377100,1369100,1363800,1357100,1357300,1367000,1374700,1383900,1399800,1418500,1431600,1440600,1442200,1439700,1435900,1435100,1435000,1435700,1435000,1437300,1442600,1450500,1456100,1464700,1478900,1496500,1508400,1517100,1523600,1533400,1546400,1556900,1565000,1577100,1590100,1597700,1605100,1613100,1637600,1674400,1706400,1726200,1744800,1758200,1771800,1787800,1807700,1833600,1858800,1880500,1901800,1909400,1905700,1907200,1920900,1931200,1934500,1936300,1947800,1958100,1958500,1948800,1940300,1942300,1944800,1942000,1948000,1968200,1997000,2032800,2060500,2077500,2101200,2133700,2164600,2200200,2239400,2265700,2275400,2280700,2291400,2293800,2280100,2257100,2245000,2242900,2238600,2222200,2188200,2149000,2112800,2087800,2065300,2046100,2037800,2048300,2054200,2037900,2000900,1982500,2006200,2040000,2063900,2076800,2065600,2043000,2029300,2012900,1987000,1962300,1932500,1898900,1877300,1864300,1840600,1823600,1820500,1812000,1800000,1794900
Gramercy,neighborhood,All Homes,765200,763100,762800,763600,766000,761800,753700,753400,758400,761400,765700,772200,775100,774900,774700,774900,774100,774400,776500,776400,777200,779400,780500,779000,779100,781600,785600,790500,795300,799300,801900,804200,808000,812800,819300,828200,835600,840700,842100,840800,842400,850400,860000,864200,862100,861300,864600,868300,872600,878500,885100,890200,892000,896700,906800,916400,924700,935500,944600,949600,954600,956700,952400,945900,941000,937600,937500,942000,947500,949100,948100,949200,952700,956900,967500,983200,997600,1008200,1012600,1012600,1011000,1011300,1008600,1000400,990000,985700,985100,985800,988000,987300,984600,983400,987100,990100,991100,989900,989000,988100,989500,995500,1002900,1005600,1010200,1019900,1024400,1019000,1014700,1016900,1014600,1001900,985200,971300,962500,958800,953400,947800,944000,941200,938500,937300
Greenwich Village,neighborhood,All Homes,870800,876300,884400,892200,896400,907800,930500,947500,953700,963700,972800,971800,963800,954700,949900,948300,949800,950800,949800,950300,957000,963200,970700,984200,1000500,1013400,1033600,1055400,1071500,1075000,1063700,1046100,1042300,1062700,1099700,1127600,1132000,1140100,1149200,1153400,1157500,1178900,1202800,1218800,1222500,1218200,1204700,1199800,1206200,1209800,1211000,1210500,1206900,1201400,1213400,1250500,1298400,1331300,1346600,1348500,1352100,1362300,1364600,1363200,1370800,1381600,1377400,1364900,1360000,1370600,1388600,1414700,1448600,1467500,1465300,1467300,1471100,1469300,1486300,1511500,1502300,1474100,1461100,1454300,1446300,1439100,1444700,1459700,1475800,1478100,1472200,1468400,1478700,1488900,1484200,1479400,1483600,1479700,1462200,1457900,1476800,1504900,1529100,1539300,1534900,1521700,1510700,1502100,1493100,1490500,1490200,1478900,1466300,1455100,1428300,1405500,1398000,1394400,1391100,1389700
