Region Name,Region Type,Data Type,Oct 09,Nov 09,Dec 09,Jan 10,Feb 10,Mar 10,Apr 10,May 10,Jun 10,Jul 10,Aug 10,Sep 10,Oct 10,Nov 10,Dec 10,Jan 11,Feb 11,Mar 11,Apr 11,May 11,Jun 11,Jul 11,Aug 11,Sep 11,Oct 11,Nov 11,Dec 11,Jan 12,Feb 12,Mar 12,Apr 12,May 12,Jun 12,Jul 12,Aug 12,Sep 12,Oct 12,Nov 12,Dec 12,Jan 13,Feb 13,Mar 13,Apr 13,May 13,Jun 13,Jul 13,Aug 13,Sep 13,Oct 13,Nov 13,Dec 13,Jan 14,Feb 14,Mar 14,Apr 14,May 14,Jun 14,Jul 14,Aug 14,Sep 14,Oct 14,Nov 14,Dec 14,Jan 15,Feb 15,Mar 15,Apr 15,May 15,Jun 15,Jul 15,Aug 15,Sep 15,Oct 15,Nov 15,Dec 15,Jan 16,Feb 16,Mar 16,Apr 16,May 16,Jun 16,Jul 16,Aug 16,Sep 16,Oct 16,Nov 16,Dec 16,Jan 17,Feb 17,Mar 17,Apr 17,May 17,Jun 17,Jul 17,Aug 17,Sep 17,Oct 17,Nov 17,Dec 17,Jan 18,Feb 18,Mar 18,Apr 18,May 18,Jun 18,Jul 18,Aug 18,Sep 18,Oct 18,Nov 18,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19,Jul 19,Aug 19,Sep 19
Queens,borough,All Homes,"$425,100","$426,300","$427,300","$427,900","$428,500","$427,200","$422,900","$419,600","$420,000","$421,500","$420,000","$415,500","$412,600","$409,900","$407,900","$407,700","$409,700","$410,000","$411,100","$413,700","$414,600","$411,800","$411,300","$414,700","$416,100","$413,700","$409,900","$406,600","$403,900","$402,400","$401,000","$399,700","$400,100","$401,800","$403,100","$404,700","$407,200","$410,300","$413,200","$415,200","$416,400","$419,000","$423,200","$427,800","$431,300","$433,800","$435,700","$437,300","$439,100","$441,800","$445,700","$450,100","$454,300","$457,900","$461,000","$463,400","$465,300","$468,400","$472,000","$474,800","$477,100","$480,000","$483,100","$485,700","$488,100","$491,300","$494,100","$495,700","$498,100","$502,500","$506,600","$509,500","$512,900","$517,000","$520,400","$523,600","$527,000","$530,300","$533,900","$538,100","$541,200","$543,400","$546,700","$549,900","$552,900","$558,000","$564,600","$569,700","$572,200","$574,700","$578,200","$582,200","$585,200","$588,700","$592,700","$597,300","$601,300","$603,400","$604,500","$607,800","$612,500","$617,800","$623,100","$628,900","$633,300","$635,600","$636,200","$638,600","$642,300","$644,900","$646,100","$647,400","$650,000","$651,200","$650,600","$648,000","$645,400","$644,700","$646,200","$646,100"
Arverne,neighborhood,All Homes,"$289,300","$290,600","$293,400","$296,000","$297,500","$301,100","$304,200","$303,300","$300,700","$299,200","$297,100","$295,400","$295,400","$292,700","$289,800","$288,400","$289,600","$288,700","$288,400","$290,200","$291,500","$290,400","$288,600","$286,400","$279,900","$270,400","$260,400","$255,400","$254,400","$254,400","$253,400","$253,800","$255,600","$257,500","$259,400","$259,700","$259,100","$260,100","$263,400","$265,500","$265,000","$264,500","$267,200","$268,300","$266,300","$261,900","$259,000","$258,700","$261,200","$267,300","$275,600","$280,100","$274,800","$265,500","$256,500","$252,800","$254,100","$260,400","$266,800","$272,000","$277,200","$283,000","$282,100","$274,500","$271,000","$274,300","$279,600","$281,600","$280,100","$278,300","$278,600","$279,800","$281,700","$281,700","$283,700","$289,000","$294,000","$297,200","$300,800","$304,900","$309,700","$313,900","$314,400","$314,400","$318,000","$322,100","$322,100","$321,300","$322,900","$324,900","$325,900","$326,600","$326,300","$323,000","$321,700","$322,600","$320,500","$315,900","$313,400","$316,300","$326,000","$338,400","$343,600","$342,600","$343,500","$347,200","$349,800","$353,300","$358,600","$362,700","$366,300","$372,800","$377,900","$375,700","$372,000","$372,700","$373,800","$376,200","$379,500","$378,800"
Astoria,neighborhood,All Homes,"$503,600","$501,700","$501,500","$501,200","$502,500","$493,900","$476,100","$465,800","$470,600","$477,700","$479,300","$476,900","$474,600","$470,300","$467,900","$471,000","$476,500","$481,600","$488,200","$494,300","$495,900","$492,800","$493,900","$502,800","$510,600","$512,100","$509,800","$506,400","$502,800","$503,300","$502,700","$497,200","$491,500","$489,100","$487,500","$486,600","$486,300","$487,700","$490,100","$492,400","$495,300","$499,000","$505,800","$514,600","$521,400","$526,200","$532,300","$537,000","$541,800","$547,000","$552,200","$555,700","$557,700","$559,700","$564,200","$567,800","$568,800","$571,300","$577,500","$582,300","$585,600","$592,400","$601,000","$604,900","$602,800","$603,300","$607,400","$613,900","$621,500","$633,200","$640,300","$648,500","$658,500","$665,600","$668,400","$676,900","$687,000","$695,500","$706,800","$718,400","$726,300","$730,600","$736,600","$737,600","$739,300","$750,400","$767,300","$775,900","$780,100","$786,500","$791,700","$796,000","$798,600","$800,300","$797,700","$794,500","$788,500","$779,200","$766,100","$766,300","$780,400","$795,700","$799,700","$800,300","$799,300","$799,800","$802,600","$812,900","$829,000","$843,500","$852,100","$854,200","$854,600","$855,800","$860,800","$866,700","$872,500","$874,700","$875,000","$873,000"
Astoria Heights,neighborhood,All Homes,"$304,400","$304,800","$305,900","$306,800","$307,500","$303,500","$295,500","$288,900","$285,900","$283,900","$282,100","$278,800","$276,100","$272,100","$269,100","$268,000","$269,800","$271,900","$273,400","$274,600","$277,700","$280,000","$281,400","$284,600","$285,900","$286,900","$285,800","$282,900","$280,300","$280,800","$280,600","$280,400","$279,600","$278,600","$278,700","$279,800","$281,600","$282,000","$281,500","$282,100","$283,400","$283,700","$285,000","$286,900","$287,900","$288,100","$288,200","$289,100","$291,300","$295,200","$301,200","$305,000","$305,800","$307,400","$310,400","$312,900","$316,800","$323,400","$330,700","$334,800","$335,300","$334,800","$334,600","$335,600","$337,400","$340,200","$342,800","$345,200","$348,000","$351,200","$353,200","$355,800","$360,200","$364,800","$367,800","$370,200","$371,900","$373,500","$376,600","$380,400","$384,400","$389,800","$395,000","$397,200","$397,400","$398,800","$402,200","$405,100","$405,700","$406,600","$409,100","$411,900","$410,500","$405,600","$401,400","$400,900","$404,000","$407,200","$409,100","$413,700","$420,400","$425,100","$429,500","$435,200","$438,400","$440,000","$441,500","$444,500","$447,700","$450,000","$451,800","$454,000","$456,500","$457,500","$457,100","$455,000","$451,100","$448,700","$446,800","$442,900"
Auburndale,neighborhood,All Homes,"$564,500","$567,200","$570,400","$572,800","$573,500","$574,200","$574,100","$572,000","$571,100","$572,300","$569,000","$562,100","$556,800","$551,500","$546,400","$544,300","$547,100","$549,600","$551,700","$555,900","$557,900","$555,200","$555,100","$558,900","$559,600","$556,800","$553,700","$552,200","$550,300","$548,300","$546,900","$548,100","$551,700","$553,400","$552,400","$552,500","$555,400","$559,800","$563,100","$564,000","$565,800","$569,800","$574,300","$577,200","$579,800","$583,800","$590,000","$597,200","$604,100","$610,000","$616,300","$622,700","$629,100","$635,500","$641,300","$645,700","$650,300","$657,700","$666,700","$672,800","$677,000","$682,900","$690,400","$696,500","$699,700","$702,600","$706,200","$707,900","$710,100","$715,000","$719,700","$722,400","$725,100","$729,500","$733,500","$736,000","$736,800","$736,300","$736,800","$739,600","$742,300","$744,100","$746,700","$750,200","$754,000","$760,000","$768,200","$776,900","$783,900","$791,200","$799,400","$807,800","$814,000","$819,900","$825,400","$830,300","$834,400","$835,600","$834,100","$836,600","$842,400","$846,800","$850,300","$856,700","$862,600","$864,000","$863,000","$866,800","$872,600","$874,700","$873,900","$874,400","$876,900","$877,300","$873,300","$867,300","$862,300","$861,400","$862,100","$859,300"
Belle Harbor,neighborhood,All Homes,"$808,100","$812,900","$812,200","$809,400","$810,700","$806,600","$796,500","$795,100","$800,200","$801,600","$799,800","$792,300","$785,500","$777,600","$775,400","$781,200","$790,400","$788,100","$783,300","$782,800","$782,500","$779,300","$780,000","$786,300","$782,600","$765,600","$744,600","$731,400","$722,100","$717,700","$717,200","$715,500","$712,000","$709,800","$713,100","$717,200","$719,800","$722,800","$726,600","$724,600","$721,200","$720,100","$712,800","$701,300","$687,900","$668,900","$641,500","$626,900","$627,500","$634,300","$636,900","$638,600","$640,900","$648,800","$658,900","$668,000","$675,600","$682,100","$689,000","$685,600","$675,300","$671,100","$676,700","$679,100","$676,900","$674,500","$675,100","$678,400","$689,100","$704,200","$717,000","$725,900","$733,900","$739,800","$745,800","$754,000","$763,100","$769,100","$773,100","$772,900","$770,500","$773,000","$779,500","$785,800","$797,000","$813,300","$823,400","$827,800","$833,300","$839,800","$845,600","$849,800","$852,300","$858,600","$870,600","$882,300","$889,600","$890,400","$892,600","$899,500","$903,000","$908,600","$922,100","$937,800","$942,600","$942,500","$939,300","$936,900","$936,700","$938,900","$936,000","$930,100","$924,100","$920,400","$917,500","$915,500","$917,100","$921,100","$925,700","$930,200"
Bellerose,neighborhood,All Homes,"$431,800","$433,100","$434,700","$436,100","$437,000","$437,300","$435,800","$434,000","$433,500","$434,400","$433,500","$428,700","$424,100","$420,600","$419,100","$419,200","$420,600","$420,900","$422,600","$426,000","$427,800","$425,000","$422,500","$423,100","$422,700","$418,200","$412,500","$406,700","$402,300","$399,000","$395,400","$393,800","$396,700","$400,900","$402,900","$407,000","$413,000","$419,300","$424,000","$427,300","$428,500","$430,200","$434,600","$439,100","$441,700","$443,200","$444,500","$444,500","$444,600","$446,600","$449,700","$454,400","$460,500","$466,200","$469,500","$472,300","$473,500","$473,600","$475,800","$480,100","$482,900","$483,900","$484,500","$484,800","$484,600","$485,300","$485,600","$484,100","$485,100","$490,100","$493,300","$492,700","$494,200","$499,500","$503,900","$505,500","$505,900","$506,100","$507,000","$508,800","$509,800","$512,500","$517,200","$519,100","$519,100","$522,300","$528,500","$534,600","$538,900","$543,500","$549,200","$554,200","$556,100","$557,000","$559,800","$564,300","$568,500","$569,900","$569,200","$571,500","$578,100","$584,500","$589,200","$594,200","$598,500","$600,500","$601,100","$605,100","$610,900","$613,600","$614,100","$614,800","$615,900","$615,700","$614,300","$611,400","$609,500","$609,700","$611,700","$611,700"
Briarwood,neighborhood,All Homes,"$400,100","$400,000","$399,800","$398,900","$397,900","$395,600","$390,900","$387,300","$386,900","$388,200","$387,300","$383,600","$381,100","$376,700","$372,000","$370,600","$371,800","$370,400","$369,000","$367,300","$365,200","$360,500","$357,700","$358,000","$358,200","$357,300","$357,200","$357,000","$357,200","$359,100","$361,900","$365,400","$368,400","$370,100","$371,800","$374,500","$378,500","$383,900","$389,200","$393,600","$397,200","$399,200","$400,900","$402,500","$404,100","$406,600","$409,400","$411,300","$412,900","$414,000","$415,000","$416,600","$418,500","$420,000","$420,000","$421,000","$425,300","$431,200","$435,800","$439,400","$442,300","$445,600","$448,500","$449,300","$448,000","$448,800","$451,600","$453,900","$456,700","$459,700","$458,700","$456,800","$457,400","$459,900","$463,700","$468,200","$473,600","$480,700","$486,900","$490,400","$491,700","$495,000","$502,700","$509,500","$510,400","$511,300","$515,900","$518,400","$517,000","$515,800","$517,900","$522,200","$525,000","$525,800","$528,400","$534,700","$541,900","$548,900","$552,800","$557,400","$564,200","$573,700","$583,600","$594,600","$600,600","$604,300","$604,900","$605,900","$611,500","$617,100","$616,900","$618,800","$626,200","$629,900","$628,600","$625,600","$624,500","$626,400","$630,400","$631,900"
Broad Channel,neighborhood,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$316,200","$321,900","$329,000","$335,900","$338,300","$333,900","$322,900","$314,800","$312,300","$310,100","$308,200","$312,900","$323,300","$330,100","$335,600","$338,300","$341,700","$345,000","$348,800","$351,800","$356,500","$359,900","$362,300","$362,400","$359,900","$356,900","$355,300","$353,900","$354,200","$352,400","$349,900","$350,800","$354,200","$354,900","$355,400","$356,700","$357,300","$356,300","$356,600","$359,500","$360,500","$360,600","$365,300","$373,400","$378,400","$379,400","$382,100","$385,600","$386,700","$386,600","$387,400"
Cambria Heights,neighborhood,All Homes,"$358,900","$360,300","$362,300","$363,000","$362,900","$365,000","$368,400","$370,500","$372,400","$375,000","$374,500","$370,500","$368,100","$365,500","$361,800","$359,800","$361,100","$361,300","$361,100","$361,800","$361,700","$359,200","$359,500","$363,000","$363,700","$361,000","$358,500","$356,800","$354,400","$351,800","$349,100","$347,900","$348,600","$348,400","$347,600","$348,300","$349,400","$350,600","$352,400","$354,000","$355,000","$354,900","$355,300","$356,900","$356,900","$356,300","$357,400","$358,800","$359,400","$361,500","$364,000","$365,600","$367,500","$369,600","$370,500","$370,600","$372,700","$376,500","$379,200","$380,100","$381,700","$384,900","$387,600","$389,700","$391,700","$395,500","$400,100","$403,400","$405,300","$407,600","$409,600","$410,900","$411,200","$411,700","$413,100","$414,900","$416,000","$415,400","$413,800","$412,000","$410,700","$410,100","$410,700","$412,200","$415,000","$417,200","$418,500","$422,400","$428,800","$434,800","$439,600","$443,700","$446,900","$449,500","$450,700","$450,000","$449,100","$448,700","$449,400","$448,800","$444,600","$443,200","$447,000","$452,400","$455,400","$456,100","$455,500","$458,000","$462,200","$465,100","$465,900","$466,200","$466,300","$463,800","$459,200","$454,900","$454,500","$457,900","$462,100","$463,400"
