"Queens, New York, NY Zillow Home Value Index - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Queens,borough,All Homes,425100,426300,427300,427900,428500,427200,422900,419600,420000,421500,420000,415500,412600,409900,407900,407700,409700,410000,411100,413700,414600,411800,411300,414700,416100,413700,409900,406600,403900,402400,401000,399700,400100,401800,403100,404700,407200,410300,413200,415200,416400,419000,423200,427800,431300,433800,435700,437300,439100,441800,445700,450100,454300,457900,461000,463400,465300,468400,472000,474800,477100,480000,483100,485700,488100,491300,494100,495700,498100,502500,506600,509500,512900,517000,520400,523600,527000,530300,533900,538100,541200,543400,546700,549900,552900,558000,564600,569700,572200,574700,578200,582200,585200,588700,592700,597300,601300,603400,604500,607800,612500,617800,623100,628900,633300,635600,636200,638600,642300,644900,646100,647400,650000,651200,650600,648000,645400,644700,646200,646100
Arverne,neighborhood,All Homes,289300,290600,293400,296000,297500,301100,304200,303300,300700,299200,297100,295400,295400,292700,289800,288400,289600,288700,288400,290200,291500,290400,288600,286400,279900,270400,260400,255400,254400,254400,253400,253800,255600,257500,259400,259700,259100,260100,263400,265500,265000,264500,267200,268300,266300,261900,259000,258700,261200,267300,275600,280100,274800,265500,256500,252800,254100,260400,266800,272000,277200,283000,282100,274500,271000,274300,279600,281600,280100,278300,278600,279800,281700,281700,283700,289000,294000,297200,300800,304900,309700,313900,314400,314400,318000,322100,322100,321300,322900,324900,325900,326600,326300,323000,321700,322600,320500,315900,313400,316300,326000,338400,343600,342600,343500,347200,349800,353300,358600,362700,366300,372800,377900,375700,372000,372700,373800,376200,379500,378800
Astoria,neighborhood,All Homes,503600,501700,501500,501200,502500,493900,476100,465800,470600,477700,479300,476900,474600,470300,467900,471000,476500,481600,488200,494300,495900,492800,493900,502800,510600,512100,509800,506400,502800,503300,502700,497200,491500,489100,487500,486600,486300,487700,490100,492400,495300,499000,505800,514600,521400,526200,532300,537000,541800,547000,552200,555700,557700,559700,564200,567800,568800,571300,577500,582300,585600,592400,601000,604900,602800,603300,607400,613900,621500,633200,640300,648500,658500,665600,668400,676900,687000,695500,706800,718400,726300,730600,736600,737600,739300,750400,767300,775900,780100,786500,791700,796000,798600,800300,797700,794500,788500,779200,766100,766300,780400,795700,799700,800300,799300,799800,802600,812900,829000,843500,852100,854200,854600,855800,860800,866700,872500,874700,875000,873000
Astoria Heights,neighborhood,All Homes,304400,304800,305900,306800,307500,303500,295500,288900,285900,283900,282100,278800,276100,272100,269100,268000,269800,271900,273400,274600,277700,280000,281400,284600,285900,286900,285800,282900,280300,280800,280600,280400,279600,278600,278700,279800,281600,282000,281500,282100,283400,283700,285000,286900,287900,288100,288200,289100,291300,295200,301200,305000,305800,307400,310400,312900,316800,323400,330700,334800,335300,334800,334600,335600,337400,340200,342800,345200,348000,351200,353200,355800,360200,364800,367800,370200,371900,373500,376600,380400,384400,389800,395000,397200,397400,398800,402200,405100,405700,406600,409100,411900,410500,405600,401400,400900,404000,407200,409100,413700,420400,425100,429500,435200,438400,440000,441500,444500,447700,450000,451800,454000,456500,457500,457100,455000,451100,448700,446800,442900
Auburndale,neighborhood,All Homes,564500,567200,570400,572800,573500,574200,574100,572000,571100,572300,569000,562100,556800,551500,546400,544300,547100,549600,551700,555900,557900,555200,555100,558900,559600,556800,553700,552200,550300,548300,546900,548100,551700,553400,552400,552500,555400,559800,563100,564000,565800,569800,574300,577200,579800,583800,590000,597200,604100,610000,616300,622700,629100,635500,641300,645700,650300,657700,666700,672800,677000,682900,690400,696500,699700,702600,706200,707900,710100,715000,719700,722400,725100,729500,733500,736000,736800,736300,736800,739600,742300,744100,746700,750200,754000,760000,768200,776900,783900,791200,799400,807800,814000,819900,825400,830300,834400,835600,834100,836600,842400,846800,850300,856700,862600,864000,863000,866800,872600,874700,873900,874400,876900,877300,873300,867300,862300,861400,862100,859300
Belle Harbor,neighborhood,All Homes,808100,812900,812200,809400,810700,806600,796500,795100,800200,801600,799800,792300,785500,777600,775400,781200,790400,788100,783300,782800,782500,779300,780000,786300,782600,765600,744600,731400,722100,717700,717200,715500,712000,709800,713100,717200,719800,722800,726600,724600,721200,720100,712800,701300,687900,668900,641500,626900,627500,634300,636900,638600,640900,648800,658900,668000,675600,682100,689000,685600,675300,671100,676700,679100,676900,674500,675100,678400,689100,704200,717000,725900,733900,739800,745800,754000,763100,769100,773100,772900,770500,773000,779500,785800,797000,813300,823400,827800,833300,839800,845600,849800,852300,858600,870600,882300,889600,890400,892600,899500,903000,908600,922100,937800,942600,942500,939300,936900,936700,938900,936000,930100,924100,920400,917500,915500,917100,921100,925700,930200
Bellerose,neighborhood,All Homes,431800,433100,434700,436100,437000,437300,435800,434000,433500,434400,433500,428700,424100,420600,419100,419200,420600,420900,422600,426000,427800,425000,422500,423100,422700,418200,412500,406700,402300,399000,395400,393800,396700,400900,402900,407000,413000,419300,424000,427300,428500,430200,434600,439100,441700,443200,444500,444500,444600,446600,449700,454400,460500,466200,469500,472300,473500,473600,475800,480100,482900,483900,484500,484800,484600,485300,485600,484100,485100,490100,493300,492700,494200,499500,503900,505500,505900,506100,507000,508800,509800,512500,517200,519100,519100,522300,528500,534600,538900,543500,549200,554200,556100,557000,559800,564300,568500,569900,569200,571500,578100,584500,589200,594200,598500,600500,601100,605100,610900,613600,614100,614800,615900,615700,614300,611400,609500,609700,611700,611700
Briarwood,neighborhood,All Homes,400100,400000,399800,398900,397900,395600,390900,387300,386900,388200,387300,383600,381100,376700,372000,370600,371800,370400,369000,367300,365200,360500,357700,358000,358200,357300,357200,357000,357200,359100,361900,365400,368400,370100,371800,374500,378500,383900,389200,393600,397200,399200,400900,402500,404100,406600,409400,411300,412900,414000,415000,416600,418500,420000,420000,421000,425300,431200,435800,439400,442300,445600,448500,449300,448000,448800,451600,453900,456700,459700,458700,456800,457400,459900,463700,468200,473600,480700,486900,490400,491700,495000,502700,509500,510400,511300,515900,518400,517000,515800,517900,522200,525000,525800,528400,534700,541900,548900,552800,557400,564200,573700,583600,594600,600600,604300,604900,605900,611500,617100,616900,618800,626200,629900,628600,625600,624500,626400,630400,631900
Broad Channel,neighborhood,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316200,321900,329000,335900,338300,333900,322900,314800,312300,310100,308200,312900,323300,330100,335600,338300,341700,345000,348800,351800,356500,359900,362300,362400,359900,356900,355300,353900,354200,352400,349900,350800,354200,354900,355400,356700,357300,356300,356600,359500,360500,360600,365300,373400,378400,379400,382100,385600,386700,386600,387400
Cambria Heights,neighborhood,All Homes,358900,360300,362300,363000,362900,365000,368400,370500,372400,375000,374500,370500,368100,365500,361800,359800,361100,361300,361100,361800,361700,359200,359500,363000,363700,361000,358500,356800,354400,351800,349100,347900,348600,348400,347600,348300,349400,350600,352400,354000,355000,354900,355300,356900,356900,356300,357400,358800,359400,361500,364000,365600,367500,369600,370500,370600,372700,376500,379200,380100,381700,384900,387600,389700,391700,395500,400100,403400,405300,407600,409600,410900,411200,411700,413100,414900,416000,415400,413800,412000,410700,410100,410700,412200,415000,417200,418500,422400,428800,434800,439600,443700,446900,449500,450700,450000,449100,448700,449400,448800,444600,443200,447000,452400,455400,456100,455500,458000,462200,465100,465900,466200,466300,463800,459200,454900,454500,457900,462100,463400
